competitor,date,source,title,content,category,source_url,collected_at,item_id
Sohu News,2026-08-02,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,065 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-02,appstore:436957087:rating:4dba890982da2401
Tencent News,2026-08-02,Apple App Store,App Store rating snapshot · v8.0.01,"Version 8.0.01 has an App Store rating of 4.02/5 from 353,359 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-02,appstore:399363156:rating:358170d953e95ca2
Toutiao,2026-08-02,Apple App Store,App Store rating snapshot · v17.8.0,"Version 17.8.0 has an App Store rating of 4.76/5 from 2,805,670 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-08-02,appstore:529092160:rating:096875b757e4f72c
NetEase News,2026-08-01,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 784,949 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-08-01,appstore:425349261:rating:6d2af07c905698f2
Sohu News,2026-08-01,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,058 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-01,appstore:436957087:rating:a813f2e1b9c0a4ab
Tencent News,2026-08-01,Apple App Store,App Store rating snapshot · v8.0.01,"Version 8.0.01 has an App Store rating of 4.02/5 from 353,320 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-01,appstore:399363156:rating:82a288fcd9d3a978
Toutiao,2026-08-01,Apple App Store,App Store rating snapshot · v17.8.0,"Version 17.8.0 has an App Store rating of 4.76/5 from 2,805,520 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-08-01,appstore:529092160:rating:3756e44298b4e5e7
NetEase News,2026-07-31,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 784,933 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-07-31,appstore:425349261:rating:205072d246ca7d71
Sohu News,2026-07-31,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,052 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-07-31,appstore:436957087:rating:2c6882799439ae68
Tencent News,2026-07-31,Apple App Store,Version 8.0.01 release notes,- 性能优化，体验更流畅。,Product Feature,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-01,appstore:399363156:release:8.0.01
